id	lead_time	arrival_date_month	arrival_date_day_of_month	stays_in_weekend_nights	stays_in_week_nights	adults	children	reserved_room_type	rate
1	342	July	1	0	0	2	0	0	0.00
2	737	July	1	0	0	2	0	0	0.00
3	7	July	1	0	1	1	0	0	75.00
4	13	July	1	0	1	1	0	0	75.00
5	14	July	1	0	2	2	0	0	98.00
6	14	July	1	0	2	2	0	0	98.00
7	0	July	1	0	2	2	0	0	107.00
8	9	July	1	0	2	2	0	0	103.00
9	85	July	1	0	3	2	0	0	82.00
10	75	July	1	0	3	2	0	0	105.50
11	23	July	1	0	4	2	0	0	123.00
12	35	July	1	0	4	2	0	0	145.00
13	68	July	1	0	4	2	0	0	97.00
14	18	July	1	0	4	2	1	0	154.77
15	37	July	1	0	4	2	0	0	94.71
16	68	July	1	0	4	2	0	0	97.00
17	37	July	1	0	4	2	0	0	97.50
18	12	July	1	0	1	2	0	0	88.20
19	0	July	1	0	1	2	0	0	107.42
20	7	July	1	0	4	2	0	0	153.00
21	37	July	1	1	4	1	0	0	97.29
22	72	July	1	2	4	2	0	0	84.67
23	72	July	1	2	4	2	0	0	84.67
24	72	July	1	2	4	2	0	0	99.67
25	127	July	1	2	5	2	0	0	94.95
26	78	July	1	2	5	2	0	0	63.60
27	48	July	1	2	5	2	0	0	79.50
28	60	July	1	2	5	2	0	0	107.00
29	77	July	1	2	5	2	0	0	94.00
30	99	July	1	2	5	2	0	0	87.30
31	118	July	1	4	10	1	0	0	62.00
32	95	July	1	4	11	2	0	0	63.86
33	96	July	1	2	8	2	0	0	108.30
34	69	July	2	2	4	2	0	0	65.50
35	45	July	2	1	3	3	0	0	108.80
36	40	July	2	1	3	3	0	0	108.80
37	15	July	2	1	3	2	0	0	98.00
38	36	July	2	1	3	3	0	0	108.80
39	43	July	2	1	3	3	0	0	108.80
40	70	July	2	2	3	2	0	0	137.00
41	45	July	2	2	3	2	0	0	117.81
42	45	July	2	2	3	2	0	0	79.50
43	16	July	2	2	3	2	0	0	123.00
44	70	July	2	2	3	2	0	0	137.00
45	107	July	2	2	5	2	0	0	110.70
46	47	July	2	2	5	2	2	0	153.00
47	96	July	2	2	5	2	0	0	58.95
48	113	July	2	2	5	2	0	0	82.88
49	90	July	2	2	5	2	0	0	82.35
50	50	July	2	2	5	2	0	0	119.35
51	113	July	2	2	5	2	0	0	67.58
52	93	July	2	3	8	2	0	0	56.01
53	76	July	2	4	10	2	0	0	110.70
54	3	July	2	0	1	2	0	0	88.20
55	1	July	2	0	1	2	0	0	147.00
56	1	July	2	0	1	2	2	0	107.00
57	0	July	2	0	1	2	0	0	147.00
58	0	July	2	0	1	2	0	0	117.90
59	0	July	2	0	1	2	0	0	123.00
60	14	July	2	0	2	2	0	0	98.00
61	10	July	2	0	2	2	0	0	117.81
62	5	July	2	0	2	2	0	0	135.00
63	17	July	2	0	3	2	0	0	133.00
64	93	July	2	0	3	2	0	0	58.95
65	3	July	2	0	3	2	0	0	136.33
66	10	July	3	0	2	2	2	0	153.00
67	3	July	3	0	2	2	0	0	110.50
68	51	July	3	0	2	2	0	0	97.00
69	71	July	3	0	2	3	0	0	110.30
70	63	July	3	0	2	2	0	0	82.00
71	62	July	3	0	2	2	0	0	97.00
72	101	July	3	0	2	2	0	0	73.80
73	2	July	3	0	2	2	0	0	91.50
74	15	July	3	0	2	2	0	0	114.50
75	51	July	3	0	2	3	0	0	110.30
76	3	July	3	1	2	2	0	0	90.90
77	48	July	3	1	2	2	0	0	123.00
78	2	July	3	2	2	1	0	0	122.00
79	72	July	3	2	2	2	0	0	110.70
80	81	July	3	2	6	3	0	0	85.86
81	99	July	3	2	7	2	0	0	58.95
82	368	July	3	3	7	2	0	0	55.68
83	364	July	3	3	7	2	0	0	55.68
84	81	July	3	3	7	2	0	0	124.00
85	99	July	3	3	7	2	0	0	111.15
86	324	July	3	4	10	2	0	0	134.73
87	69	July	3	4	10	2	0	0	92.45
88	79	July	3	6	15	2	1	0	108.73
89	12	July	3	0	1	2	0	0	73.80
90	9	July	3	0	1	2	0	0	98.00
91	1	July	3	0	1	2	0	0	131.00
92	21	July	3	0	1	2	0	0	123.00
93	9	July	3	0	1	2	0	0	94.71
94	109	July	3	0	1	2	0	0	123.00
95	109	July	3	0	2	2	0	0	123.00
96	72	July	3	0	2	2	0	0	73.80
97	63	July	3	2	5	2	0	0	117.00
98	63	July	3	2	5	3	0	0	196.54
99	101	July	3	2	5	2	1	0	99.30
100	102	July	3	2	5	2	0	0	90.95
101	4	July	4	2	1	2	0	0	92.67
102	98	July	4	2	1	2	0	0	71.55
103	92	July	4	2	4	1	2	0	96.49
104	95	July	4	2	4	2	0	0	85.80
105	102	July	4	2	5	2	0	0	96.30
106	26	July	4	2	5	2	2	0	163.00
107	73	July	4	2	5	3	0	0	172.00
108	102	July	4	2	5	2	0	0	110.70
109	115	July	4	2	5	2	0	0	58.95
110	102	July	4	2	5	2	0	1	73.80
111	86	July	4	2	5	2	0	0	97.00
112	78	July	4	2	5	2	0	1	139.00
113	52	July	4	2	5	2	0	0	67.24
114	29	July	4	2	6	3	0	0	116.50
115	101	July	4	2	6	2	0	0	96.30
116	109	July	4	2	6	2	0	0	123.00
117	92	July	4	4	6	2	0	0	71.55
118	92	July	4	4	6	2	0	0	71.55
119	79	July	4	4	6	2	1	0	149.00
120	2	July	4	0	1	2	2	0	163.00
121	30	July	4	0	1	2	0	0	79.50
122	51	July	4	0	1	1	0	0	105.00
123	36	July	4	0	1	1	0	0	123.00
124	73	July	4	0	1	2	0	0	73.80
125	33	July	4	0	1	2	0	0	113.00
126	32	July	4	0	1	4	0	0	0.00
127	8	July	4	0	1	2	0	0	123.00
128	100	July	4	1	1	2	0	0	73.80
129	1	July	4	1	1	2	0	0	114.50
130	100	July	4	1	1	2	0	0	73.80
131	100	July	4	1	1	2	0	0	73.80
132	9	July	5	1	0	2	0	0	88.20
133	5	July	5	1	0	2	0	0	97.00
